id,carat,cut,color,clarity,depth,table,price,x,y,z
53377,0.61,Ideal,F,VVS2,61.5,56.0,2660,5.44,5.49,3.36
48125,0.54,Ideal,E,VS1,62.0,56.0,1939,5.17,5.25,3.23
15925,1.31,Premium,H,VS2,62.1,58.0,6368,7.01,6.86,4.31
4416,0.96,Good,H,SI2,56.7,62.0,3611,6.51,6.39,3.66
12678,1.09,Premium,I,VS2,60.1,59.0,5306,6.74,6.67,4.03
32509,0.4,Premium,E,SI2,58.7,59.0,798,4.82,4.78,2.82
24949,1.7,Premium,G,SI1,62.1,57.0,13417,7.61,7.55,4.71
33123,0.39,Ideal,I,VS1,62.5,54.0,816,4.67,4.7,2.92
2006,0.72,Very Good,D,SI1,60.5,57.0,3102,5.85,5.89,3.55
46419,0.51,Very Good,G,VVS2,62.6,59.0,1768,5.08,5.11,3.19
43535,0.53,Ideal,H,VS2,61.6,55.0,1427,5.23,5.25,3.23
7871,0.9,Good,G,VS2,63.7,60.0,4309,6.02,5.98,3.82
13314,1.03,Very Good,D,SI1,62.6,58.0,5498,6.44,6.49,4.05
38880,0.4,Premium,D,VS2,61.7,59.0,1050,4.76,4.73,2.93
27817,0.34,Ideal,G,SI1,61.2,57.0,650,4.56,4.53,2.78
24248,1.14,Ideal,G,IF,59.0,59.0,12458,6.81,6.91,4.05
50192,0.68,Premium,E,SI1,62.0,59.0,2224,5.67,5.65,3.51
15847,1.0,Very Good,F,VS2,62.2,55.0,6340,6.39,6.44,3.99
16761,1.06,Premium,F,VS2,61.8,60.0,6673,6.58,6.53,4.05
893,0.7,Ideal,F,VS1,61.6,55.0,2874,5.75,5.71,3.53
45568,0.52,Premium,G,VS1,61.2,60.0,1689,5.13,5.19,3.16
43122,0.52,Premium,D,SI2,62.4,59.0,1385,5.15,5.05,3.18
23466,1.51,Very Good,E,SI1,62.8,59.0,11460,7.26,7.3,4.57
22230,1.59,Ideal,H,SI1,61.4,55.0,10284,7.56,7.51,4.63
16628,1.02,Ideal,G,VS2,61.7,56.0,6648,6.44,6.52,4.0
138,0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53
51769,0.7,Ideal,F,SI1,62.1,55.0,2409,5.68,5.72,3.54
52983,0.72,Very Good,H,VS1,60.1,57.0,2594,5.79,5.85,3.5
52943,0.7,Very Good,F,VS2,62.3,61.0,2593,5.55,5.62,3.48
22009,1.52,Premium,H,SI1,62.5,58.0,10078,7.33,7.29,4.57
21363,0.33,Good,D,VS2,63.6,56.0,625,4.38,4.42,2.8
27355,2.57,Premium,D,SI2,58.9,58.0,17924,8.99,8.94,5.28
35469,0.31,Ideal,F,IF,61.7,56.0,901,4.38,4.41,2.71
43757,0.41,Ideal,F,IF,61.9,56.0,1439,4.77,4.79,2.96
13179,1.11,Premium,H,VS2,61.7,58.0,5450,6.64,6.69,4.11
41610,0.32,Good,H,SI2,63.2,55.0,393,4.34,4.36,2.75
10550,1.04,Premium,D,SI2,61.0,59.0,4811,6.54,6.51,3.98
48920,0.7,Very Good,J,VVS1,63.3,55.0,2042,5.63,5.68,3.58
45880,0.57,Ideal,D,VS2,60.3,57.0,1718,5.42,5.4,3.26
350,0.7,Ideal,D,SI1,61.0,59.0,2804,5.68,5.7,3.47
45433,0.57,Ideal,E,SI1,60.8,55.0,1670,5.39,5.41,3.28
10804,1.06,Premium,F,SI1,61.9,58.0,4862,6.58,6.53,4.06
7143,1.2,Premium,J,SI2,61.8,56.0,4177,6.85,6.81,4.22
17263,1.0,Very Good,F,VS1,60.1,63.0,6910,6.42,6.45,3.87
30248,0.26,Ideal,E,VVS2,62.5,55.0,724,4.09,4.07,2.55
11437,1.0,Good,D,SI1,60.4,64.0,5005,6.3,6.39,3.83
44118,0.55,Very Good,E,SI1,59.7,60.0,1559,5.31,5.41,3.2
52615,0.7,Good,D,SI1,62.6,62.0,2546,5.61,5.64,3.52
46095,0.53,Ideal,F,VS1,61.6,55.0,1740,5.24,5.21,3.22
51226,0.7,Fair,G,SI1,61.7,66.0,2352,5.7,5.58,3.48
20794,1.52,Very Good,D,SI2,61.2,63.0,9030,7.39,7.31,4.5
45134,0.53,Very Good,E,VS2,62.8,57.0,1653,5.16,5.19,3.25
2275,1.22,Premium,J,SI2,62.6,59.0,3156,6.79,4.24,3.76
45916,0.53,Ideal,E,VS2,61.9,56.0,1721,5.19,5.21,3.22
46962,0.37,Fair,F,SI1,65.3,56.0,527,4.53,4.47,2.94
49809,0.75,Ideal,H,SI1,62.1,57.0,2165,5.82,5.78,3.6
43201,0.53,Good,G,VS2,63.4,58.0,1395,5.13,5.16,3.26
7545,0.7,Ideal,F,VVS1,61.6,56.0,4246,5.86,5.71,3.51
14685,1.14,Premium,F,SI1,61.1,59.0,5925,6.7,6.75,4.11
